"SG_UF_NOT";"DS_UF_SIGLA";"Ano.epidemiológico";"Semana.epidemiológica";"virus";"Median";"LI";"LS";"casos.registrados";"casos.estimados";"media.movel"
0;"BR";2022;15;"SARS2";NA;NA;NA;365;365;423
0;"BR";2022;15;"VSR";NA;NA;NA;668;668;662
0;"BR";2022;15;"FLU_A";NA;NA;NA;31;31;37
0;"BR";2022;15;"FLU_B";NA;NA;NA;3;3;5
0;"BR";2022;15;"RINO";NA;NA;NA;133;133;147
0;"BR";2022;15;"METAP";NA;NA;NA;86;86;96
0;"BR";2022;16;"SARS2";NA;NA;NA;500;500;463
0;"BR";2022;16;"VSR";NA;NA;NA;692;692;645
0;"BR";2022;16;"FLU_A";NA;NA;NA;52;52;42
0;"BR";2022;16;"FLU_B";NA;NA;NA;8;8;6
0;"BR";2022;16;"RINO";NA;NA;NA;152;152;142
0;"BR";2022;16;"METAP";NA;NA;NA;113;113;112
0;"BR";2022;17;"SARS2";NA;NA;NA;524;524;589
0;"BR";2022;17;"VSR";NA;NA;NA;575;575;623
0;"BR";2022;17;"FLU_A";NA;NA;NA;43;43;52
0;"BR";2022;17;"FLU_B";NA;NA;NA;7;7;5
0;"BR";2022;17;"RINO";NA;NA;NA;141;141;146
0;"BR";2022;17;"METAP";NA;NA;NA;137;137;129
0;"BR";2022;18;"SARS2";NA;NA;NA;743;743;791
0;"BR";2022;18;"VSR";NA;NA;NA;603;603;582
0;"BR";2022;18;"FLU_A";NA;NA;NA;61;61;66
0;"BR";2022;18;"FLU_B";NA;NA;NA;1;1;4
0;"BR";2022;18;"RINO";NA;NA;NA;145;145;152
0;"BR";2022;18;"METAP";NA;NA;NA;137;137;128
0;"BR";2022;19;"SARS2";NA;NA;NA;1107;1107;1148
0;"BR";2022;19;"VSR";NA;NA;NA;569;569;585
0;"BR";2022;19;"FLU_A";NA;NA;NA;95;95;88
0;"BR";2022;19;"FLU_B";NA;NA;NA;3;3;5
0;"BR";2022;19;"RINO";NA;NA;NA;171;171;155
0;"BR";2022;19;"METAP";NA;NA;NA;111;111;118
0;"BR";2022;20;"SARS2";NA;NA;NA;1593;1593;1584
0;"BR";2022;20;"VSR";NA;NA;NA;583;583;526
0;"BR";2022;20;"FLU_A";NA;NA;NA;107;107;109
0;"BR";2022;20;"FLU_B";NA;NA;NA;11;11;7
0;"BR";2022;20;"RINO";NA;NA;NA;149;149;164
0;"BR";2022;20;"METAP";NA;NA;NA;106;106;108
0;"BR";2022;21;"SARS2";NA;NA;NA;2051;2051;2088
0;"BR";2022;21;"VSR";NA;NA;NA;425;425;466
0;"BR";2022;21;"FLU_A";NA;NA;NA;126;126;111
0;"BR";2022;21;"FLU_B";NA;NA;NA;6;6;6
0;"BR";2022;21;"RINO";NA;NA;NA;173;173;161
0;"BR";2022;21;"METAP";NA;NA;NA;106;106;108
0;"BR";2022;22;"SARS2";NA;NA;NA;2621;2621;2511
0;"BR";2022;22;"VSR";NA;NA;NA;391;391;389
0;"BR";2022;22;"FLU_A";NA;NA;NA;101;101;113
0;"BR";2022;22;"FLU_B";NA;NA;NA;2;2;4
0;"BR";2022;22;"RINO";NA;NA;NA;162;162;173
0;"BR";2022;22;"METAP";NA;NA;NA;111;111;99
0;"BR";2022;23;"SARS2";NA;NA;NA;2861;2861;2894
0;"BR";2022;23;"VSR";NA;NA;NA;352;352;347
0;"BR";2022;23;"FLU_A";NA;NA;NA;111;111;112
0;"BR";2022;23;"FLU_B";NA;NA;NA;3;3;3
0;"BR";2022;23;"RINO";NA;NA;NA;185;185;168
0;"BR";2022;23;"METAP";NA;NA;NA;81;81;90
0;"BR";2022;24;"SARS2";NA;NA;NA;3201;3201;3212
0;"BR";2022;24;"VSR";NA;NA;NA;298;298;321
0;"BR";2022;24;"FLU_A";NA;NA;NA;125;125;114
0;"BR";2022;24;"FLU_B";NA;NA;NA;4;4;4
0;"BR";2022;24;"RINO";NA;NA;NA;157;157;169
0;"BR";2022;24;"METAP";NA;NA;NA;79;79;76
0;"BR";2022;25;"SARS2";NA;NA;NA;3574;3574;3469
0;"BR";2022;25;"VSR";NA;NA;NA;313;313;288
0;"BR";2022;25;"FLU_A";NA;NA;NA;106;106;109
0;"BR";2022;25;"FLU_B";NA;NA;NA;6;6;5
0;"BR";2022;25;"RINO";NA;NA;NA;166;166;170
0;"BR";2022;25;"METAP";NA;NA;NA;68;68;64
0;"BR";2022;26;"SARS2";NA;NA;NA;3633;3633;3421
0;"BR";2022;26;"VSR";NA;NA;NA;254;254;257
0;"BR";2022;26;"FLU_A";NA;NA;NA;95;95;95
0;"BR";2022;26;"FLU_B";NA;NA;NA;4;4;5
0;"BR";2022;26;"RINO";NA;NA;NA;188;188;173
0;"BR";2022;26;"METAP";NA;NA;NA;46;46;50
0;"BR";2022;27;"SARS2";NA;NA;NA;3057;3057;3074
0;"BR";2022;27;"VSR";NA;NA;NA;203;203;210
0;"BR";2022;27;"FLU_A";NA;NA;NA;84;84;84
0;"BR";2022;27;"FLU_B";NA;NA;NA;4;4;4
0;"BR";2022;27;"RINO";NA;NA;NA;165;165;158
0;"BR";2022;27;"METAP";NA;NA;NA;37;37;34
0;"BR";2022;28;"SARS2";NA;NA;NA;2531;2531;2489
0;"BR";2022;28;"VSR";NA;NA;NA;172;172;169
0;"BR";2022;28;"FLU_A";NA;NA;NA;72;72;68
0;"BR";2022;28;"FLU_B";NA;NA;NA;4;4;4
0;"BR";2022;28;"RINO";NA;NA;NA;122;122;130
0;"BR";2022;28;"METAP";NA;NA;NA;19;19;27
0;"BR";2022;29;"SARS2";NA;NA;NA;1880;1880;1886
0;"BR";2022;29;"VSR";NA;NA;NA;131;131;139
0;"BR";2022;29;"FLU_A";NA;NA;NA;48;48;50
0;"BR";2022;29;"FLU_B";NA;NA;NA;3;3;3
0;"BR";2022;29;"RINO";NA;NA;NA;102;102;107
0;"BR";2022;29;"METAP";NA;NA;NA;25;25;19
0;"BR";2022;30;"SARS2";NA;NA;NA;1247;1247;1372
0;"BR";2022;30;"VSR";NA;NA;NA;114;114;104
0;"BR";2022;30;"FLU_A";NA;NA;NA;29;29;37
0;"BR";2022;30;"FLU_B";NA;NA;NA;2;2;3
0;"BR";2022;30;"RINO";NA;NA;NA;96;96;119
0;"BR";2022;30;"METAP";NA;NA;NA;12;12;16
0;"BR";2022;31;"SARS2";NA;NA;NA;989;989;1005
0;"BR";2022;31;"VSR";NA;NA;NA;66;66;84
0;"BR";2022;31;"FLU_A";NA;NA;NA;33;33;30
0;"BR";2022;31;"FLU_B";NA;NA;NA;3;3;2
0;"BR";2022;31;"RINO";NA;NA;NA;158;158;143
0;"BR";2022;31;"METAP";NA;NA;NA;12;12;13
0;"BR";2022;32;"SARS2";NA;NA;NA;778;778;817
0;"BR";2022;32;"VSR";NA;NA;NA;72;72;69
0;"BR";2022;32;"FLU_A";NA;NA;NA;27;27;35
0;"BR";2022;32;"FLU_B";NA;NA;NA;1;1;2
0;"BR";2022;32;"RINO";NA;NA;NA;175;175;178
0;"BR";2022;32;"METAP";NA;NA;NA;16;16;13
0;"BR";2022;33;"SARS2";NA;NA;NA;685;685;654
0;"BR";2022;33;"VSR";NA;NA;NA;68;68;67
0;"BR";2022;33;"FLU_A";NA;NA;NA;45;45;41
0;"BR";2022;33;"FLU_B";NA;NA;NA;2;2;2
0;"BR";2022;33;"RINO";NA;NA;NA;201;201;181
0;"BR";2022;33;"METAP";NA;NA;NA;10;10;11
0;"BR";2022;34;"SARS2";NA;NA;NA;500;500;521
0;"BR";2022;34;"VSR";NA;NA;NA;60;60;59
0;"BR";2022;34;"FLU_A";NA;NA;NA;52;52;56
0;"BR";2022;34;"FLU_B";NA;NA;NA;3;3;4
0;"BR";2022;34;"RINO";NA;NA;NA;167;167;167
0;"BR";2022;34;"METAP";NA;NA;NA;8;8;8
0;"BR";2022;35;"SARS2";NA;NA;NA;378;378;402
0;"BR";2022;35;"VSR";NA;NA;NA;50;50;58
0;"BR";2022;35;"FLU_A";NA;NA;NA;70;70;77
0;"BR";2022;35;"FLU_B";NA;NA;NA;6;6;6
0;"BR";2022;35;"RINO";NA;NA;NA;133;133;137
0;"BR";2022;35;"METAP";NA;NA;NA;6;6;8
0;"BR";2022;36;"SARS2";NA;NA;NA;327;327;310
0;"BR";2022;36;"VSR";NA;NA;NA;63;63;61
0;"BR";2022;36;"FLU_A";NA;NA;NA;110;110;102
0;"BR";2022;36;"FLU_B";NA;NA;NA;9;9;7
0;"BR";2022;36;"RINO";NA;NA;NA;112;112;116
