"Muito_baixo","baixo","moderado","alto","muito_alto","regiao","fx_etaria"
0,0.0525477790681177,0.158004491280507,0.368917915705287,1.10350336043047,"RO","15 a 49"
0,0.629477156273999,3.22488318950359,5.82028922273317,10.9972571546861,"RO","2 a 4"
0,0.187784258421185,0.563969781391658,1.3163408273326,2.06938509194946,"RO","5 a 14"
0,0.184890729578819,0.563803259447118,0.942715789315418,1.70054084905202,"RO","50 a 64"
0,1.81743690496421,3.2859578916864,5.93157061011437,11.5603372535721,"RO","65+"
0,5.11703468432724,12.1671355014837,23.6324031071473,39.6544671246831,"RO","< 2"
0,0.305537899787638,0.71367020694894,1.12180251411024,1.83547272105918,"AC","15 a 49"
0,5.44442271029348,12.0147686776578,18.8036243010805,26.5352777365214,"AC","2 a 4"
0,1.59681334727908,2.87774677946669,4.1586802116543,6.12914432308611,"AC","5 a 14"
0,1.46680952645034,3.44435993362225,6.52379789119873,15.2970983316602,"AC","50 a 64"
1.761431691679,8.25173115423549,12.6130580837357,18.0186544053368,24.8710390567428,"AC","65+"
6.65158972994546,22.3293720295424,40.3306480020533,70.079572169659,100.043228672645,"AC","< 2"
0,0.148940967618969,0.276785485221969,0.447244842025968,0.706860657682274,"AM","15 a 49"
0,1.54273631595258,3.30857437076012,5.07441242556765,7.52768995445903,"AM","2 a 4"
0,0.319705957495449,0.703803995795233,1.2123868176472,2.31180753850079,"AM","5 a 14"
0,0.504819473395812,0.911558960601285,1.5216681914095,2.38133145894639,"AM","50 a 64"
0.424286138571853,2.61170012637274,4.33858257985708,7.02828803750145,10.7668444320787,"AM","65+"
2.07424411087526,9.80734959155657,16.8641453437199,28.3188717100303,52.5475174755066,"AM","< 2"
0,0.126639025588682,0.387984673624336,0.673533112234864,0.942946357128809,"RR","15 a 49"
0,1.13101701049584,3.4134710143594,7.97837902208652,12.665806927045,"RR","2 a 4"
0,0.372958981971163,1.1439469245295,1.91493486708783,3.35663083774047,"RR","5 a 14"
0,0.628456510809452,1.35304831569854,1.95018275900833,3.46634868694712,"RR","50 a 64"
0,1.31013520595325,4.11723158073379,10.1894076567382,14.9696116882728,"RR","65+"
0,16.5324200702739,31.5730385211075,50.4503157816062,78.4782689936096,"RR","< 2"
0.0206564239722758,0.114078388406757,0.197078529543253,0.300828705963872,0.541934811495271,"PA","15 a 49"
0.24562963472417,1.12428467623121,1.87538707038305,2.87053631602858,3.7853786120857,"PA","2 a 4"
0.0699402919727429,0.247883530265861,0.389825786452188,0.602739170731678,0.965372851115312,"PA","5 a 14"
0,0.404930822059493,0.74432843623601,1.20093049797773,2.13912297818002,"PA","50 a 64"
0.459749681623345,1.95832737031038,3.29297924090302,6.5224263106674,11.5647239047871,"PA","65+"
0,4.69642189395506,8.53362056868047,12.9151602083764,19.4760523435817,"PA","< 2"
0,0.111764811072763,0.33592099588281,0.560077180692856,0.784233365502902,"AP","15 a 49"
0,7.88371559608533,17.1152709543527,33.690373846976,64.0046712181099,"AP","2 a 4"
0,1.70102486197857,3.74956355274986,5.79528666889463,10.5649252991702,"AP","5 a 14"
0,0.525546831478153,1.61970840372485,2.77696799790167,3.80803154821823,"AP","50 a 64"
0,1.11433028749721,3.46414364887632,8.16377037163452,12.9177725062827,"AP","65+"
0,36.195481906334,89.2512859474303,162.387284120434,260.992496465727,"AP","< 2"
0,0.0589416901647538,0.176965061935962,0.294988433707171,0.531035177249587,"TO","15 a 49"
0,0.676489291174521,2.06631657615727,3.45614386114001,6.23579843110551,"TO","2 a 4"
0,0.203661839881061,0.611484476805875,1.01930711373069,1.83445343041762,"TO","5 a 14"
0,0.218590702025899,0.668776538701209,1.11896237537652,1.56914821205183,"TO","50 a 64"
0,1.09942724047733,2.58517263713536,4.72533736198874,8.11268127979479,"TO","65+"
0,3.25706863118962,7.62330117462219,16.5432005648153,26.6199338938308,"TO","< 2"
0,0.0391003320600869,0.0912711175237459,0.143441902987405,0.274479521475016,"MA","15 a 49"
0,0.77584978954325,1.400509714855,2.02516964016675,2.94402023006743,"MA","2 a 4"
0,0.130006915364022,0.304427757869662,0.478848600375301,0.66016712352889,"MA","5 a 14"
0,0.0535071244736237,0.163024608623373,0.382059576922872,0.60109454522237,"MA","50 a 64"
0,0.421578412660938,0.930538401440841,1.66024994626033,2.79621043580687,"MA","65+"
0.479064865382773,3.44237063115623,6.93510576539383,11.4975567691865,18.0268269039372,"MA","< 2"
0,0.0836278101802504,0.195169213275361,0.306710616370472,0.584999281286597,"PI","15 a 49"
0,1.0871462066215,2.55058025839303,4.74573133605032,7.54870469272409,"PI","2 a 4"
0,0.313597051439032,0.942921237866297,1.77444761026638,3.07261977919519,"PI","5 a 14"
0,0.288560590703743,0.482277995131675,0.879587711286176,1.43844764581499,"PI","50 a 64"
0,1.81412750550296,3.55493260848651,6.50437527643595,10.6960837879169,"PI","65+"
0,2.9067875430701,8.81834215167548,16.3456413206407,24.103468547913,"PI","< 2"
0,0.0909199647434216,0.17173966619318,0.252576212532789,0.373733065559191,"CE","15 a 49"
1.11145689770151,4.20948080671936,6.577313760499,8.68205416385868,11.2923515368577,"CE","2 a 4"
0.387688261419745,1.35506380553172,2.05474778552465,2.79135548222217,4.29665093085422,"CE","5 a 14"
0,0.24631462006959,0.458130112277132,0.740550768553855,1.17714466393645,"CE","50 a 64"
0.206428599443881,2.02445403494065,3.67201314560187,5.68815900114406,10.0545804382918,"CE","65+"
6.33931644056438,17.8859285287352,31.3074189813396,46.6859820826267,64.5854585468236,"CE","< 2"
